Tanggal,Tavg,RH_avg,RR,ss,ff_avg,ddd_car
01-11-2023,30.1,74,0,8.6,2,S 
02-11-2023,30,72,0,9.2,3,S 
03-11-2023,30.2,72,0,8.2,2,SW
04-11-2023,29.8,76,0,8.2,2,S 
05-11-2023,28.9,80,0.2,5.6,2,S 
06-11-2023,29.4,76,19.6,6.6,2,S 
07-11-2023,29.8,75,0,7.8,3,S 
08-11-2023,30,74,0,8.5,3,SW
09-11-2023,29.4,76,0,9.8,2,S 
10-11-2023,30.3,72,8888,8.6,3,S 
11-11-2023,29.4,75,0,8.5,2,S 
12-11-2023,29.3,75,0,4.7,3,S 
13-11-2023,29.5,75,0,7.4,2,S 
14-11-2023,28.8,81,0,8,2,S 
15-11-2023,28.6,80,40.2,5.8,3,S 
16-11-2023,28.9,79,0,5.1,2,SW
17-11-2023,29.5,76,0,3.1,2,SW
18-11-2023,30,70,0,8.3,3,SW
19-11-2023,29.9,70,0,7.4,2,S 
20-11-2023,30.5,72,,9.6,3,S 
21-11-2023,29.9,71,,8.3,2,S 
22-11-2023,30.5,70,0,7.1,2,S 
23-11-2023,28.8,81,0.6,8.5,2,SW
24-11-2023,28.9,79,8888,0.2,2,SW
25-11-2023,26.5,87,,3.5,2,S 
26-11-2023,27.8,81,3.4,0,2,S 
27-11-2023,28.3,80,4.8,3.3,2,N 
28-11-2023,27.3,84,0,1.7,1,S 
29-11-2023,29.2,76,1.6,0.5,2,S 
30-11-2023,29.1,79,2.5,6.5,2,SW
01-12-2023,25.1,92,25.4,7.7,2,SW
02-12-2023,28.8,76,69.3,0,2,SW
03-12-2023,28.1,80,1,7.5,2,S 
04-12-2023,27.4,84,5.5,4.8,2,S 
05-12-2023,28.6,80,34,2,2,C 
06-12-2023,28.9,79,,8.1,2,SW
07-12-2023,29.1,78,0,4.5,2,S 
08-12-2023,29.3,75,4.3,6.8,2,S 
09-12-2023,29,76,0.4,5.9,2,SW
10-12-2023,29.1,76,,3.2,2,S 
11-12-2023,29.9,70,,2.5,3,SW
12-12-2023,29.4,70,0,9.7,3,SW
13-12-2023,29.7,70,0,9.7,3,S 
14-12-2023,29.7,70,0,8.6,3,S 
15-12-2023,29.6,68,,9,3,S 
16-12-2023,29.8,67,,10.1,3,S 
17-12-2023,30,69,0,10,3,S 
18-12-2023,29.5,70,0,9.7,3,SW
19-12-2023,29.6,62,0,6.2,3,SW
20-12-2023,29.7,61,,8.5,2,SW
21-12-2023,29.1,69,,10.3,3,SW
22-12-2023,29.9,68,0,9.4,2,S 
23-12-2023,29.9,70,0,10.4,2,S 
24-12-2023,30,73,0,10.2,2,S 
25-12-2023,27.7,81,,9.7,2,S 
26-12-2023,28.8,79,1.9,3.2,2,S 
27-12-2023,29.6,73,9.8,7.5,2,S 
28-12-2023,29.6,76,0,5.2,2,S 
29-12-2023,29,80,0,8,2,S 
30-12-2023,29,80,6.5,8.1,2,SW
31-12-2023,28.7,80,0.6,9,2,S 
01-01-2024,29.5,79,8888,7.1,2,SW
02-01-2024,29.6,79,7.1,6.8,2,S 
03-01-2024,28.8,81,3.8,6.5,2,S 
04-01-2024,26.6,90,0.8,8.3,2,SW
05-01-2024,28.5,80,38.3,0,2,S 
06-01-2024,29.3,78,0,5.2,2,S 
07-01-2024,28.2,85,3.7,7.2,1,C 
08-01-2024,28.6,84,10.7,0,1,C 
09-01-2024,28.4,85,4.2,1.5,1,C 
10-01-2024,28.5,82,4.6,1.8,2,SW
11-01-2024,27.4,87,8888,4.1,2,SW
12-01-2024,29.4,76,53.7,4.6,3,SW
13-01-2024,29.8,72,0,6.9,2,SW
14-01-2024,29.8,74,,5.7,1,SW
15-01-2024,28.9,80,8888,4,2,SW
16-01-2024,28.9,79,16,2.5,2,C 
17-01-2024,28.5,80,8888,6,2,W 
18-01-2024,29,72,8888,4.2,3,SW
19-01-2024,27.9,80,1.5,2.6,3,SW
20-01-2024,29.5,70,4.5,2.6,3,SW
21-01-2024,29,76,8888,5.5,2,SW
22-01-2024,27.9,82,1.8,7.1,2,W 
23-01-2024,28.9,74,29.4,2.6,3,SW
24-01-2024,27.8,82,,2.4,2,S 
25-01-2024,28.2,81,12.6,5.2,2,SW
26-01-2024,28.7,82,8888,9.1,2,C 
27-01-2024,28.7,81,0.2,4.8,2,NW
28-01-2024,29.2,80,1.3,5,3,NW
29-01-2024,27.8,86,0.6,9.8,3,NW
30-01-2024,27.9,85,11.9,1.4,2,S 
31-01-2024,27.8,82,24.6,5.9,2,W 
01-02-2024,28.4,80,0,2.6,2,C 
02-02-2024,29.9,72,8888,7.6,3,SW
03-02-2024,27.3,85,,8.7,2,S 
04-02-2024,27.1,87,36.2,4.4,2,SW
05-02-2024,27.9,85,25.4,6.3,2,S 
06-02-2024,27,88,8.7,6.4,2,S 
07-02-2024,27.5,82,27,4.2,2,NW
08-02-2024,29,77,0.6,3,2,S 
09-02-2024,29,79,,9.8,2,S 
10-02-2024,26.8,89,12.6,10,2,SW
11-02-2024,27.4,85,4.7,1,3,SW
12-02-2024,27.8,83,11.8,7.9,2,W 
13-02-2024,29.7,79,8888,6.2,2,NW
14-02-2024,29.2,82,8888,10,2,C 
15-02-2024,28.2,87,0,4.7,2,S 
16-02-2024,29.2,82,14,4.8,1,N 
17-02-2024,28.8,83,19.2,6.4,2,C 
18-02-2024,28.6,80,2,5.4,2,C 
19-02-2024,28.7,84,0.3,6.4,2,SW
20-02-2024,29.8,80,0,3.1,2,S 
21-02-2024,28.9,81,0.2,8.7,2,S 
22-02-2024,30.3,79,0.4,5.9,3,NW
23-02-2024,28.9,83,0.2,8.8,1,S 
24-02-2024,28.1,85,8888,0,2,S 
25-02-2024,28,84,1.5,2.7,3,N 
26-02-2024,29.3,80,20.5,8.1,2,NW
27-02-2024,28.6,82,0,7.9,2,S 
28-02-2024,28.9,83,14.6,6.2,2,C 
29-02-2024,29.4,80,0,5.8,2,S 
01-03-2024,27.6,85,0,6.8,2,SW
02-03-2024,28.9,84,13,6.4,1,C 
03-03-2024,28.6,83,0,5.8,2,N 
04-03-2024,28.6,81,8888,8.2,2,SW
05-03-2024,28.3,82,10.6,6.2,2,S 
06-03-2024,29.8,80,13,6.8,2,C 
07-03-2024,29.5,83,0.4,7.8,2,C 
08-03-2024,28.7,86,13.6,5.4,2,SW
09-03-2024,26.2,92,3.5,5.5,2,C 
10-03-2024,26.9,89,9.9,0,2,S 
11-03-2024,27.5,89,30.3,0.2,3,W 
12-03-2024,28.4,84,13.7,0,4,NW
13-03-2024,26.9,92,3.4,1.6,3,NW
14-03-2024,26.5,93,19.5,0,2,C 
15-03-2024,27.7,82,5.6,0,3,W 
16-03-2024,28.2,83,8888,0,3,NW
17-03-2024,27.7,83,1.6,7.9,2,W 
18-03-2024,28.8,80,0.5,2.3,2,NW
19-03-2024,29.5,74,,8,2,W 
20-03-2024,28.7,79,,10.1,2,NW
21-03-2024,28.4,84,159.5,10,2,C 
22-03-2024,29.2,79,0.2,5.5,2,S 
23-03-2024,29.6,78,0,10.1,2,S 
24-03-2024,29.5,80,,8.7,1,C 
25-03-2024,29,81,,7.1,2,S 
26-03-2024,29.2,78,0,6.9,2,S 
27-03-2024,28.6,79,5,7.3,1,C 
28-03-2024,28,79,1,5.1,2,S 
29-03-2024,29.2,78,,5.8,2,C 
30-03-2024,29.3,80,,7.9,2,S 
31-03-2024,29.7,76,0,8,2,SW
01-04-2024,28.5,81,0,8.4,2,S 
02-04-2024,29.5,78,8888,3.1,2,C 
03-04-2024,29.4,78,10.5,9.3,2,S 
04-04-2024,29.9,77,1.1,7,2,N 
05-04-2024,31.8,71,0,7.7,2,NW
06-04-2024,29.9,74,8888,5.2,2,S 
07-04-2024,30,75,0,4.9,2,S 
08-04-2024,29.7,78,,8.8,2,W 
09-04-2024,26.8,88,21.3,4.7,1,SW
10-04-2024,28.7,80,3.2,0,2,S 
11-04-2024,28.9,81,0,8.8,2,SE
12-04-2024,28.3,82,0,6.1,2,C 
13-04-2024,29.6,78,,6.4,2,S 
14-04-2024,29,80,5.5,8.3,2,S 
15-04-2024,29.2,82,0.8,4.5,2,E 
16-04-2024,29.9,77,0,5.4,2,SW
17-04-2024,30.1,76,0,8.4,2,E 
18-04-2024,28.4,81,0,7.4,2,S 
19-04-2024,29,80,8888,3,2,S 
20-04-2024,29.9,78,0,5,2,C 
21-04-2024,29.4,80,0,7.3,1,C 
22-04-2024,30.1,79,0,7.8,1,S 
23-04-2024,27.9,87,,7.5,2,S 
24-04-2024,29.5,80,52.1,3.1,2,S 
25-04-2024,28.6,83,8888,4.4,2,E 
26-04-2024,29,80,8888,4.3,2,E 
27-04-2024,29.2,81,7.5,8.6,2,S 
28-04-2024,29.9,78,8888,8.1,2,S 
29-04-2024,29.5,81,,8.4,2,S 
30-04-2024,30.1,76,12.2,7.2,2,S 
